store_id,product_id,current_stock,last_restocked_date,expiry_date
S001,P001,86,2026-08-29,2027-12-19
S001,P002,60,2026-08-31,2028-07-16
S001,P003,48,2026-09-01,2028-02-24
S001,P004,12,2026-08-18,2028-05-04
S001,P005,120,2026-07-23,2028-06-09
S001,P006,80,2026-08-28,2028-03-24
S001,P007,74,2026-08-22,2027-07-17
S001,P008,53,2026-08-25,2026-09-27
S001,P009,51,2026-08-21,2027-10-20
S001,P010,19,2026-08-16,2027-08-17
S001,P011,65,2026-08-21,2028-01-17
S001,P012,67,2026-08-24,2027-09-29
S001,P013,69,2026-08-30,2026-09-29
S001,P014,111,2026-07-31,2028-05-30
S001,P015,53,2026-08-29,2026-09-23
S001,P016,38,2026-08-31,2027-03-29
S001,P017,56,2026-08-23,2028-01-14
S001,P018,57,2026-06-10,2027-05-30
S001,P019,31,2026-08-24,2027-07-20
S001,P020,56,2026-08-21,2027-03-17
S001,P021,55,2026-08-24,2027-07-15
S001,P022,55,2026-08-21,2027-07-03
S001,P023,41,2026-09-02,2028-05-08
S001,P024,31,2026-08-25,2028-09-07
S001,P025,69,2026-09-02,2029-03-21
S002,P001,91,2026-08-30,2027-11-10
S002,P002,84,2026-08-22,2028-05-31
S002,P003,54,2026-08-21,2028-08-31
S002,P004,28,2026-08-12,2027-04-19
S002,P005,121,2026-08-01,2028-02-15
S002,P006,67,2026-08-31,2028-05-01
S002,P007,56,2026-08-25,2028-01-22
S002,P008,69,2026-08-29,2026-09-18
S002,P009,41,2026-09-01,2027-12-06
S002,P010,18,2026-08-16,2027-06-05
S002,P011,78,2026-08-21,2027-04-18
S002,P012,55,2026-08-29,2027-09-28
S002,P013,55,2026-09-02,2026-10-02
S002,P014,110,2026-07-27,2027-03-31
S002,P015,52,2026-09-02,2026-09-17
S002,P016,53,2026-09-01,2028-01-25
S002,P017,43,2026-08-27,2028-01-29
S002,P018,48,2026-05-24,2027-07-05
S002,P019,25,2026-08-30,2027-05-04
S002,P020,64,2026-08-24,2027-08-01
S002,P021,31,2026-08-26,2027-07-12
S002,P022,77,2026-08-25,2027-06-10
S002,P023,55,2026-09-01,2029-03-09
S002,P024,11,2026-08-28,2030-04-13
S002,P025,53,2026-08-27,2028-01-17
S003,P001,82,2026-09-02,2028-04-24
S003,P002,68,2026-08-30,2027-03-23
S003,P003,64,2026-08-25,2027-06-15
S003,P004,16,2026-08-16,2028-01-09
S003,P005,126,2026-07-19,2028-06-02
S003,P006,53,2026-08-23,2028-07-28
S003,P007,61,2026-08-21,2027-07-27
S003,P008,68,2026-08-25,2026-09-19
S003,P009,62,2026-08-30,2027-12-04
S003,P010,18,2026-08-11,2027-03-25
S003,P011,73,2026-08-26,2028-01-15
S003,P012,69,2026-08-23,2027-05-28
S003,P013,45,2026-09-02,2026-09-30
S003,P014,107,2026-07-24,2028-03-27
S003,P015,41,2026-08-23,2026-09-16
S003,P016,57,2026-08-25,2027-12-17
S003,P017,38,2026-08-31,2028-08-31
S003,P018,58,2026-06-13,2028-01-05
S003,P019,26,2026-08-27,2027-08-29
S003,P020,41,2026-08-31,2027-09-05
S003,P021,41,2026-08-29,2027-06-22
S003,P022,59,2026-08-24,2027-07-11
S003,P023,53,2026-08-21,2029-06-17
S003,P024,38,2026-08-23,2029-08-06
S003,P025,56,2026-08-29,2031-08-24
